F M1 M2 dropout cur_max cur_ave cur_std time
8 32 0 1.0 42.95774647887324 39.12676056338029 2.6052911841739412 84.27s
8 32 0 0.75 44.36619718309859 39.12676056338029 2.6052911841739412 83.96s
8 32 0 0.5 44.36619718309859 39.12676056338029 2.6052911841739412 84.92s
8 32 32 1.0 44.36619718309859 39.436619718309856 2.604681973085482 95.60s
8 32 32 0.75 46.478873239436616 40.08450704225353 3.3856764462966824 95.94s
8 32 32 0.5 46.478873239436616 40.08450704225353 3.3856764462966824 96.01s
8 32 64 1.0 46.478873239436616 40.08450704225353 3.3856764462966824 95.87s
8 32 64 0.75 47.88732394366197 40.70422535211267 2.701876914542376 96.09s
8 32 64 0.5 47.88732394366197 40.70422535211267 2.701876914542376 96.07s
8 32 128 1.0 47.88732394366197 40.70422535211267 2.701876914542376 95.94s
8 32 128 0.75 47.88732394366197 40.70422535211267 2.701876914542376 96.14s
8 32 128 0.5 47.88732394366197 40.70422535211267 2.701876914542376 96.07s
8 64 0 1.0 47.88732394366197 40.70422535211267 2.701876914542376 91.45s
8 64 0 0.75 47.88732394366197 40.70422535211267 2.701876914542376 91.76s
8 64 0 0.5 47.88732394366197 40.70422535211267 2.701876914542376 91.74s
8 64 32 1.0 47.88732394366197 40.70422535211267 2.701876914542376 102.70s
8 64 32 0.75 47.88732394366197 40.70422535211267 2.701876914542376 103.19s
8 64 32 0.5 47.88732394366197 40.70422535211267 2.701876914542376 103.88s
8 64 64 1.0 47.88732394366197 40.70422535211267 2.701876914542376 102.71s
8 64 64 0.75 47.88732394366197 41.014084507042256 2.441783992424713 103.24s
8 64 64 0.5 47.88732394366197 41.014084507042256 2.441783992424713 103.43s
8 64 128 1.0 47.88732394366197 41.014084507042256 2.441783992424713 103.07s
8 64 128 0.75 47.88732394366197 41.014084507042256 2.441783992424713 103.51s
8 64 128 0.5 47.88732394366197 41.014084507042256 2.441783992424713 103.64s
8 128 0 1.0 47.88732394366197 41.014084507042256 2.441783992424713 103.91s
8 128 0 0.75 47.88732394366197 41.014084507042256 2.441783992424713 104.68s
8 128 0 0.5 47.88732394366197 41.014084507042256 2.441783992424713 105.17s
8 128 32 1.0 47.88732394366197 41.014084507042256 2.441783992424713 115.61s
8 128 32 0.75 47.88732394366197 41.014084507042256 2.441783992424713 116.87s
8 128 32 0.5 47.88732394366197 41.014084507042256 2.441783992424713 116.89s
8 128 64 1.0 47.88732394366197 41.014084507042256 2.441783992424713 116.11s
8 128 64 0.75 47.88732394366197 41.014084507042256 2.441783992424713 116.95s
8 128 64 0.5 47.88732394366197 41.014084507042256 2.441783992424713 117.40s
8 128 128 1.0 47.88732394366197 41.014084507042256 2.441783992424713 116.13s
8 128 128 0.75 47.88732394366197 41.014084507042256 2.441783992424713 116.98s
8 128 128 0.5 47.88732394366197 41.014084507042256 2.441783992424713 117.46s
16 32 0 1.0 47.88732394366197 41.014084507042256 2.441783992424713 95.13s
16 32 0 0.75 47.88732394366197 41.014084507042256 2.441783992424713 94.66s
16 32 0 0.5 47.88732394366197 41.014084507042256 2.441783992424713 94.65s
16 32 32 1.0 47.88732394366197 41.014084507042256 2.441783992424713 106.55s
16 32 32 0.75 47.88732394366197 41.014084507042256 2.441783992424713 106.64s
16 32 32 0.5 47.88732394366197 41.014084507042256 2.441783992424713 106.90s
16 32 64 1.0 47.88732394366197 41.014084507042256 2.441783992424713 106.13s
16 32 64 0.75 49.29577464788733 41.29577464788732 4.163300233654606 106.74s
