F M1 M2 dropout cur_max cur_ave cur_std time
8 32 0 1.0 43.66197183098591 38.760563380281695 2.7990986731920366 85.61s
8 32 0 0.75 45.07042253521127 38.760563380281695 2.7990986731920366 84.73s
8 32 0 0.5 45.07042253521127 38.760563380281695 2.7990986731920366 84.85s
8 32 32 1.0 45.07042253521127 38.760563380281695 2.7990986731920366 96.43s
8 32 32 0.75 45.07042253521127 38.760563380281695 2.7990986731920366 96.46s
8 32 32 0.5 45.07042253521127 38.760563380281695 2.7990986731920366 96.82s
8 32 64 1.0 45.07042253521127 38.760563380281695 2.7990986731920366 96.57s
8 32 64 0.75 45.07042253521127 38.760563380281695 2.7990986731920366 96.59s
8 32 64 0.5 45.07042253521127 38.760563380281695 2.7990986731920366 97.01s
8 32 128 1.0 45.07042253521127 38.760563380281695 2.7990986731920366 96.52s
8 32 128 0.75 45.07042253521127 38.760563380281695 2.7990986731920366 96.96s
8 32 128 0.5 45.07042253521127 38.760563380281695 2.7990986731920366 96.74s
8 64 0 1.0 45.07042253521127 39.29577464788733 2.8169014084507045 92.19s
8 64 0 0.75 45.774647887323944 40.36619718309859 3.051628746805824 92.38s
8 64 0 0.5 45.774647887323944 40.36619718309859 3.051628746805824 92.70s
8 64 32 1.0 45.774647887323944 40.36619718309859 3.051628746805824 104.11s
8 64 32 0.75 45.774647887323944 40.36619718309859 3.051628746805824 103.99s
8 64 32 0.5 45.774647887323944 40.36619718309859 3.051628746805824 104.10s
8 64 64 1.0 45.774647887323944 40.36619718309859 3.051628746805824 103.58s
8 64 64 0.75 45.774647887323944 40.36619718309859 3.051628746805824 104.45s
8 64 64 0.5 45.774647887323944 40.36619718309859 3.051628746805824 104.26s
8 64 128 1.0 45.774647887323944 40.36619718309859 3.051628746805824 104.11s
8 64 128 0.75 45.774647887323944 40.36619718309859 3.051628746805824 104.76s
8 64 128 0.5 45.774647887323944 40.36619718309859 3.051628746805824 105.01s
8 128 0 1.0 45.774647887323944 40.36619718309859 3.051628746805824 104.79s
8 128 0 0.75 45.774647887323944 40.36619718309859 3.051628746805824 105.49s
8 128 0 0.5 45.774647887323944 40.36619718309859 3.051628746805824 106.16s
8 128 32 1.0 45.774647887323944 40.36619718309859 3.051628746805824 116.72s
8 128 32 0.75 45.774647887323944 40.36619718309859 3.051628746805824 117.48s
8 128 32 0.5 45.774647887323944 40.36619718309859 3.051628746805824 117.96s
8 128 64 1.0 45.774647887323944 40.36619718309859 3.051628746805824 116.89s
8 128 64 0.75 45.774647887323944 40.36619718309859 3.051628746805824 117.83s
8 128 64 0.5 45.774647887323944 40.36619718309859 3.051628746805824 118.53s
8 128 128 1.0 46.478873239436616 40.36619718309859 3.051628746805824 117.25s
8 128 128 0.75 46.478873239436616 40.36619718309859 3.051628746805824 117.95s
8 128 128 0.5 46.478873239436616 40.36619718309859 3.051628746805824 118.51s
16 32 0 1.0 47.183098591549296 40.36619718309859 3.051628746805824 95.24s
16 32 0 0.75 47.183098591549296 40.36619718309859 3.051628746805824 95.11s
16 32 0 0.5 47.183098591549296 40.36619718309859 3.051628746805824 95.05s
16 32 32 1.0 47.183098591549296 40.36619718309859 3.051628746805824 106.42s
16 32 32 0.75 47.183098591549296 40.36619718309859 3.051628746805824 106.88s
16 32 32 0.5 47.183098591549296 40.36619718309859 3.051628746805824 106.90s
16 32 64 1.0 47.183098591549296 40.36619718309859 3.051628746805824 106.36s
16 32 64 0.75 47.183098591549296 40.36619718309859 3.051628746805824 106.73s
16 32 64 0.5 47.183098591549296 40.36619718309859 3.051628746805824 106.67s
16 32 128 1.0 47.183098591549296 40.36619718309859 3.051628746805824 106.33s
16 32 128 0.75 47.183098591549296 40.36619718309859 3.051628746805824 107.06s
16 32 128 0.5 47.183098591549296 40.36619718309859 3.051628746805824 106.82s
16 64 0 1.0 47.183098591549296 40.36619718309859 3.051628746805824 105.99s
16 64 0 0.75 47.183098591549296 40.84507042253521 3.168231515268167 106.77s
16 64 0 0.5 47.183098591549296 40.84507042253521 3.168231515268167 106.98s
16 64 32 1.0 47.183098591549296 40.84507042253521 3.168231515268167 118.11s
16 64 32 0.75 47.183098591549296 40.84507042253521 3.168231515268167 119.05s
16 64 32 0.5 47.183098591549296 40.84507042253521 3.168231515268167 119.10s
16 64 64 1.0 47.183098591549296 40.84507042253521 3.168231515268167 117.93s
16 64 64 0.75 47.183098591549296 40.84507042253521 3.168231515268167 118.98s
16 64 64 0.5 47.183098591549296 40.84507042253521 3.168231515268167 119.02s
16 64 128 1.0 47.183098591549296 40.84507042253521 3.168231515268167 118.47s
16 64 128 0.75 47.183098591549296 40.84507042253521 3.168231515268167 119.43s
16 64 128 0.5 47.183098591549296 40.84507042253521 3.168231515268167 119.00s
16 128 0 1.0 47.183098591549296 40.84507042253521 3.168231515268167 128.90s
16 128 0 0.75 47.183098591549296 40.84507042253521 3.168231515268167 129.88s
16 128 0 0.5 47.183098591549296 40.84507042253521 3.168231515268167 130.61s
16 128 32 1.0 47.183098591549296 40.84507042253521 3.168231515268167 140.06s
16 128 32 0.75 47.183098591549296 40.84507042253521 3.168231515268167 142.04s
16 128 32 0.5 47.183098591549296 40.84507042253521 3.168231515268167 142.64s
16 128 64 1.0 47.183098591549296 40.84507042253521 3.168231515268167 140.58s
16 128 64 0.75 47.183098591549296 40.84507042253521 3.168231515268167 142.39s
16 128 64 0.5 47.183098591549296 40.84507042253521 3.168231515268167 142.58s
16 128 128 1.0 47.183098591549296 40.84507042253521 3.168231515268167 140.79s
16 128 128 0.75 47.183098591549296 40.84507042253521 3.168231515268167 141.95s
16 128 128 0.5 47.183098591549296 40.84507042253521 3.168231515268167 141.94s
32 32 0 1.0 47.183098591549296 40.84507042253521 3.168231515268167 110.06s
32 32 0 0.75 47.183098591549296 40.84507042253521 3.168231515268167 110.45s
32 32 0 0.5 47.183098591549296 40.84507042253521 3.168231515268167 110.06s
32 32 32 1.0 47.183098591549296 40.84507042253521 3.168231515268167 121.42s
32 32 32 0.75 47.183098591549296 40.84507042253521 3.168231515268167 122.31s
32 32 32 0.5 47.183098591549296 40.84507042253521 3.168231515268167 122.20s
32 32 64 1.0 47.183098591549296 40.84507042253521 3.168231515268167 121.45s
32 32 64 0.75 47.183098591549296 40.84507042253521 3.168231515268167 122.40s
32 32 64 0.5 47.183098591549296 40.84507042253521 3.168231515268167 121.95s
32 32 128 1.0 47.183098591549296 40.84507042253521 3.168231515268167 121.56s
32 32 128 0.75 47.183098591549296 40.84507042253521 3.168231515268167 122.20s
32 32 128 0.5 47.183098591549296 40.84507042253521 3.168231515268167 121.43s
32 64 0 1.0 47.183098591549296 40.84507042253521 3.168231515268167 133.84s
32 64 0 0.75 47.183098591549296 40.84507042253521 3.168231515268167 134.89s
32 64 0 0.5 47.183098591549296 40.84507042253521 3.168231515268167 134.48s
32 64 32 1.0 47.183098591549296 40.84507042253521 3.168231515268167 144.72s
32 64 32 0.75 47.183098591549296 40.84507042253521 3.168231515268167 147.02s
32 64 32 0.5 47.183098591549296 40.84507042253521 3.168231515268167 146.00s
32 64 64 1.0 47.183098591549296 40.84507042253521 3.168231515268167 144.67s
32 64 64 0.75 47.183098591549296 40.84507042253521 3.168231515268167 146.33s
32 64 64 0.5 47.183098591549296 40.84507042253521 3.168231515268167 145.32s
32 64 128 1.0 47.183098591549296 40.84507042253521 3.168231515268167 145.27s
32 64 128 0.75 47.183098591549296 40.84507042253521 3.168231515268167 146.32s
32 64 128 0.5 47.183098591549296 40.84507042253521 3.168231515268167 145.28s
32 128 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 196.01s
32 128 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 198.24s
32 128 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 198.11s
32 128 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 198.57s
32 128 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 201.86s
32 128 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 201.74s
32 128 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 198.53s
32 128 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 200.99s
32 128 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 200.08s
32 128 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 199.10s
32 128 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 201.09s
32 128 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 199.62s
64 32 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 146.88s
64 32 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 147.36s
64 32 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 146.96s
64 32 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 154.01s
64 32 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 155.24s
64 32 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 153.94s
64 32 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 154.20s
64 32 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 154.90s
64 32 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 153.78s
64 32 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 154.34s
64 32 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 154.50s
64 32 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 153.73s
64 64 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 217.61s
64 64 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 218.38s
64 64 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 217.68s
64 64 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 219.91s
64 64 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 222.80s
64 64 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 219.93s
64 64 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 219.29s
64 64 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 221.23s
64 64 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 219.24s
64 64 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 219.37s
64 64 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 220.84s
64 64 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 218.56s
64 128 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 397.82s
64 128 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 400.96s
64 128 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 399.61s
64 128 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 407.11s
64 128 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 411.51s
64 128 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 409.27s
64 128 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 407.49s
64 128 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 411.02s
64 128 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 404.40s
64 128 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 403.75s
64 128 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 411.09s
64 128 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 405.51s
128 32 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 268.67s
128 32 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 267.17s
128 32 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 267.64s
128 32 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 267.96s
128 32 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 267.94s
128 32 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 265.52s
128 32 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 268.26s
128 32 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 268.68s
128 32 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 266.08s
128 32 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 267.70s
128 32 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 267.31s
128 32 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 265.19s
128 64 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 436.50s
128 64 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 438.23s
128 64 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 434.12s
128 64 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 445.25s
128 64 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 449.90s
128 64 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 446.19s
128 64 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 445.21s
128 64 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 446.70s
128 64 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 442.82s
128 64 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 444.05s
128 64 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 442.48s
128 64 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 442.20s
128 128 0 1.0 47.183098591549296 40.90140845070423 2.125967579055009 659.25s
128 128 0 0.75 47.183098591549296 40.90140845070423 2.125967579055009 661.13s
128 128 0 0.5 47.183098591549296 40.90140845070423 2.125967579055009 658.46s
128 128 32 1.0 47.183098591549296 40.90140845070423 2.125967579055009 697.18s
128 128 32 0.75 47.183098591549296 40.90140845070423 2.125967579055009 704.16s
128 128 32 0.5 47.183098591549296 40.90140845070423 2.125967579055009 698.00s
128 128 64 1.0 47.183098591549296 40.90140845070423 2.125967579055009 698.08s
128 128 64 0.75 47.183098591549296 40.90140845070423 2.125967579055009 700.06s
128 128 64 0.5 47.183098591549296 40.90140845070423 2.125967579055009 694.09s
128 128 128 1.0 47.183098591549296 40.90140845070423 2.125967579055009 696.13s
128 128 128 0.75 47.183098591549296 40.90140845070423 2.125967579055009 696.14s
128 128 128 0.5 47.183098591549296 40.90140845070423 2.125967579055009 691.49s
Best Max found: 47.183098591549296
Best AveStd found: (40.90140845070423, 2.125967579055009)
