M1 M2 dropout cur_max cur_ave cur_std time
128 0 1.0 0.4295774673072385 0.3678873247327939 0.03113154003964539 66.12s
128 0 0.8 0.471830986754995 0.4064788741125187 0.02749330399242811 85.39s
128 0 0.6 0.471830986754995 0.41464788779406475 0.017739770026488418 104.44s
128 128 1.0 0.471830986754995 0.41464788779406475 0.017739770026488418 127.08s
128 128 0.8 0.471830986754995 0.41464788779406475 0.017739770026488418 160.52s
128 128 0.6 0.471830986754995 0.41830986012875193 0.025508126986517717 186.91s
128 256 1.0 0.471830986754995 0.41830986012875193 0.025508126986517717 202.59s
128 256 0.8 0.471830986754995 0.41830986012875193 0.025508126986517717 236.52s
128 256 0.6 0.471830986754995 0.4228169020800523 0.022839495206123352 265.60s
128 512 1.0 0.471830986754995 0.4228169020800523 0.022839495206123352 283.16s
128 512 0.8 0.471830986754995 0.4228169020800523 0.022839495206123352 317.54s
128 512 0.6 0.47887324027612177 0.4357746484246053 0.02229804761350904 344.66s
128 1024 1.0 0.47887324027612177 0.4357746484246053 0.02229804761350904 362.62s
128 1024 0.8 0.47887324027612177 0.4357746484246053 0.02229804761350904 396.04s
128 1024 0.6 0.47887324027612177 0.4357746484246053 0.02229804761350904 425.40s
256 0 1.0 0.47887324027612177 0.4357746484246053 0.02229804761350904 431.10s
256 0 0.8 0.47887324027612177 0.4357746484246053 0.02229804761350904 456.78s
256 0 0.6 0.47887324027612177 0.4357746484246053 0.02229804761350904 481.25s
256 128 1.0 0.47887324027612177 0.4357746484246053 0.02229804761350904 506.98s
256 128 0.8 0.47887324027612177 0.4357746484246053 0.02229804761350904 540.69s
256 128 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 568.99s
256 256 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 585.33s
256 256 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 623.24s
256 256 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 650.17s
256 512 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 667.71s
256 512 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 702.43s
256 512 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 732.90s
256 1024 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 760.78s
256 1024 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 794.11s
256 1024 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 823.42s
512 0 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 830.16s
512 0 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 858.37s
512 0 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 878.74s
512 128 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 928.13s
512 128 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 943.54s
512 128 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 976.53s
512 256 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 994.08s
512 256 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 1029.73s
512 256 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 1057.91s
512 512 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 79.79s
512 512 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 108.79s
512 512 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 134.47s
512 1024 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 157.42s
512 1024 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 190.85s
512 1024 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 217.62s
1024 0 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 218.88s
1024 0 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 245.75s
1024 0 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 267.03s
1024 128 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 290.63s
1024 128 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 325.78s
1024 128 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 352.99s
1024 256 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 373.89s
1024 256 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 429.70s
1024 256 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 481.74s
1024 512 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 507.30s
1024 512 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 533.46s
1024 512 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 554.40s
1024 1024 1.0 0.4859154954762526 0.4357746484246053 0.02229804761350904 584.40s
1024 1024 0.8 0.4859154954762526 0.4357746484246053 0.02229804761350904 120.33s
1024 1024 0.6 0.4859154954762526 0.4357746484246053 0.02229804761350904 142.85s
Best Max found: 0.4859154954762526
Best AveStd found: (0.4357746484246053, 0.02229804761350904)
