F M1 M2 dropout cur_max cur_ave cur_std time
8 32 0 1.0 36.92307692307693 30.76923076923077 2.5185700836530613 86.95s
8 32 0 0.75 37.69230769230769 33.38461538461539 2.861703882728965 86.50s
8 32 0 0.5 40.0 33.38461538461539 2.861703882728965 86.87s
8 32 32 1.0 40.0 33.38461538461539 2.861703882728965 97.80s
8 32 32 0.75 40.0 33.38461538461539 2.861703882728965 97.83s
8 32 32 0.5 40.0 33.38461538461539 2.861703882728965 98.02s
8 32 64 1.0 40.0 33.38461538461539 2.861703882728965 97.54s
8 32 64 0.75 40.0 33.38461538461539 2.861703882728965 97.94s
8 32 64 0.5 40.0 33.38461538461539 2.861703882728965 97.97s
8 32 128 1.0 40.0 33.38461538461539 2.861703882728965 97.86s
8 32 128 0.75 40.0 33.38461538461539 2.861703882728965 98.36s
8 32 128 0.5 40.0 33.38461538461539 2.861703882728965 98.06s
8 64 0 1.0 40.0 33.38461538461539 2.861703882728965 92.76s
8 64 0 0.75 40.0 33.87692307692307 2.3074871703695607 93.07s
8 64 0 0.5 40.0 33.87692307692307 2.3074871703695607 93.20s
8 64 32 1.0 40.0 33.87692307692307 2.3074871703695607 103.46s
8 64 32 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 103.94s
8 64 32 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 104.27s
8 64 64 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 103.99s
8 64 64 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 104.31s
8 64 64 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 104.21s
8 64 128 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 104.46s
8 64 128 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 104.43s
8 64 128 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 104.61s
8 128 0 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 104.61s
8 128 0 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 105.24s
8 128 0 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 105.93s
8 128 32 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 115.23s
8 128 32 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 116.16s
8 128 32 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 116.40s
8 128 64 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 115.79s
8 128 64 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 116.39s
8 128 64 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 116.73s
8 128 128 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 115.90s
8 128 128 0.75 43.07692307692308 34.246153846153845 3.0546888974746733 116.73s
8 128 128 0.5 43.07692307692308 34.246153846153845 3.0546888974746733 117.14s
16 32 0 1.0 43.07692307692308 34.246153846153845 3.0546888974746733 96.11s
16 32 0 0.75 43.07692307692308 34.707692307692305 3.177733180378818 95.86s
16 32 0 0.5 43.07692307692308 34.707692307692305 3.177733180378818 96.19s
16 32 32 1.0 43.07692307692308 34.707692307692305 3.177733180378818 106.80s
16 32 32 0.75 43.07692307692308 34.73846153846154 3.21740827007257 107.27s
16 32 32 0.5 43.07692307692308 34.73846153846154 3.21740827007257 107.35s
16 32 64 1.0 43.07692307692308 34.73846153846154 3.21740827007257 106.74s
16 32 64 0.75 43.07692307692308 34.73846153846154 3.21740827007257 107.18s
16 32 64 0.5 43.07692307692308 34.73846153846154 3.21740827007257 107.35s
16 32 128 1.0 43.07692307692308 34.73846153846154 3.21740827007257 106.87s
16 32 128 0.75 43.07692307692308 34.73846153846154 3.21740827007257 107.53s
16 32 128 0.5 43.07692307692308 34.73846153846154 3.21740827007257 107.11s
16 64 0 1.0 43.07692307692308 34.73846153846154 3.21740827007257 105.66s
16 64 0 0.75 43.07692307692308 34.73846153846154 3.21740827007257 106.39s
16 64 0 0.5 43.07692307692308 34.73846153846154 3.21740827007257 106.56s
16 64 32 1.0 43.07692307692308 34.73846153846154 3.21740827007257 116.19s
16 64 32 0.75 43.07692307692308 35.292307692307695 2.676392520367095 117.28s
16 64 32 0.5 43.07692307692308 35.292307692307695 2.676392520367095 117.28s
16 64 64 1.0 43.07692307692308 35.292307692307695 2.676392520367095 116.40s
16 64 64 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 117.36s
16 64 64 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 117.38s
16 64 128 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 116.47s
16 64 128 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 117.43s
16 64 128 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 117.06s
16 128 0 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 126.54s
16 128 0 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 127.34s
16 128 0 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 127.96s
16 128 32 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 136.16s
16 128 32 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 137.72s
16 128 32 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 138.48s
16 128 64 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 136.53s
16 128 64 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 138.08s
16 128 64 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 138.16s
16 128 128 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 136.91s
16 128 128 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 137.96s
16 128 128 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 138.25s
32 32 0 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 109.53s
32 32 0 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 110.07s
32 32 0 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 109.51s
32 32 32 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 119.60s
32 32 32 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 120.45s
32 32 32 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 120.16s
32 32 64 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 119.65s
32 32 64 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 120.07s
32 32 64 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 119.68s
32 32 128 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 119.31s
32 32 128 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 120.49s
32 32 128 0.5 45.38461538461539 37.07692307692307 2.9271227062216085 119.40s
32 64 0 1.0 45.38461538461539 37.07692307692307 2.9271227062216085 130.92s
32 64 0 0.75 45.38461538461539 37.07692307692307 2.9271227062216085 131.83s
Best Max found: 45.38461538461539
Best AveStd found: (37.07692307692307, 2.9271227062216085)
