F M1 M2 dropout cur_max cur_ave cur_std time
8 32 0 1.0 47.183098591549296 42.11267605633803 2.8657732323064513 87.00s
8 32 0 0.75 51.40845070422535 43.267605633802816 3.3275225421621863 85.07s
8 32 0 0.5 51.40845070422535 43.267605633802816 3.3275225421621863 85.38s
8 32 32 1.0 51.40845070422535 43.267605633802816 3.3275225421621863 96.50s
8 32 32 0.75 51.40845070422535 43.267605633802816 3.3275225421621863 98.25s
8 32 32 0.5 51.40845070422535 43.267605633802816 3.3275225421621863 96.72s
8 32 64 1.0 51.40845070422535 43.267605633802816 3.3275225421621863 96.71s
8 32 64 0.75 51.40845070422535 43.323943661971825 2.789443642406114 96.73s
8 32 64 0.5 51.40845070422535 43.323943661971825 2.789443642406114 96.87s
8 32 128 1.0 51.40845070422535 43.323943661971825 2.789443642406114 96.63s
8 32 128 0.75 51.40845070422535 43.323943661971825 2.789443642406114 96.81s
8 32 128 0.5 51.40845070422535 43.323943661971825 2.789443642406114 96.87s
8 64 0 1.0 51.40845070422535 43.323943661971825 2.789443642406114 92.29s
8 64 0 0.75 51.40845070422535 44.61971830985915 2.243640310055198 92.57s
8 64 0 0.5 51.40845070422535 44.61971830985915 2.243640310055198 92.96s
8 64 32 1.0 51.40845070422535 44.61971830985915 2.243640310055198 103.71s
8 64 32 0.75 51.40845070422535 44.61971830985915 2.243640310055198 104.26s
8 64 32 0.5 51.40845070422535 44.61971830985915 2.243640310055198 104.55s
8 64 64 1.0 51.40845070422535 44.61971830985915 2.243640310055198 103.68s
8 64 64 0.75 51.40845070422535 44.61971830985915 2.243640310055198 104.14s
8 64 64 0.5 51.40845070422535 44.61971830985915 2.243640310055198 104.39s
8 64 128 1.0 51.40845070422535 44.61971830985915 2.243640310055198 104.16s
8 64 128 0.75 52.112676056338024 44.61971830985915 2.243640310055198 104.99s
8 64 128 0.5 52.112676056338024 44.61971830985915 2.243640310055198 105.19s
8 128 0 1.0 52.112676056338024 44.61971830985915 2.243640310055198 105.06s
8 128 0 0.75 52.112676056338024 44.61971830985915 2.243640310055198 105.80s
8 128 0 0.5 52.112676056338024 44.61971830985915 2.243640310055198 106.32s
8 128 32 1.0 52.112676056338024 44.61971830985915 2.243640310055198 116.47s
8 128 32 0.75 52.112676056338024 44.61971830985915 2.243640310055198 117.53s
8 128 32 0.5 52.112676056338024 44.61971830985915 2.243640310055198 117.90s
8 128 64 1.0 52.112676056338024 44.61971830985915 2.243640310055198 117.26s
8 128 64 0.75 52.112676056338024 44.61971830985915 2.243640310055198 118.08s
8 128 64 0.5 52.112676056338024 44.61971830985915 2.243640310055198 118.26s
8 128 128 1.0 52.112676056338024 44.61971830985915 2.243640310055198 117.21s
8 128 128 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 118.08s
8 128 128 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 118.13s
16 32 0 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 94.45s
16 32 0 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 94.88s
16 32 0 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 94.89s
16 32 32 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 106.27s
16 32 32 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 106.93s
16 32 32 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 106.97s
16 32 64 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 106.45s
16 32 64 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 107.26s
16 32 64 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 107.04s
16 32 128 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 106.42s
16 32 128 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 107.54s
16 32 128 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 106.87s
16 64 0 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 106.49s
16 64 0 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 107.38s
16 64 0 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 107.21s
16 64 32 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 117.94s
16 64 32 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 119.13s
16 64 32 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 119.56s
16 64 64 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 118.49s
16 64 64 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 119.48s
16 64 64 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 119.34s
16 64 128 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 118.93s
16 64 128 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 119.64s
16 64 128 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 119.33s
16 128 0 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 129.12s
16 128 0 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 130.34s
16 128 0 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 130.92s
16 128 32 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 140.54s
16 128 32 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 142.37s
16 128 32 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 142.90s
16 128 64 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 140.83s
16 128 64 0.75 52.112676056338024 44.70422535211267 2.1278329541432393 142.42s
16 128 64 0.5 52.112676056338024 44.70422535211267 2.1278329541432393 142.92s
16 128 128 1.0 52.112676056338024 44.70422535211267 2.1278329541432393 140.97s
16 128 128 0.75 52.112676056338024 44.87323943661973 2.46796575930248 142.25s
16 128 128 0.5 52.112676056338024 44.87323943661973 2.46796575930248 142.48s
32 32 0 1.0 52.112676056338024 44.87323943661973 2.46796575930248 110.50s
32 32 0 0.75 52.112676056338024 44.87323943661973 2.46796575930248 110.86s
32 32 0 0.5 52.112676056338024 44.87323943661973 2.46796575930248 110.80s
32 32 32 1.0 52.112676056338024 44.87323943661973 2.46796575930248 121.29s
32 32 32 0.75 52.112676056338024 44.87323943661973 2.46796575930248 122.62s
32 32 32 0.5 52.112676056338024 44.87323943661973 2.46796575930248 122.29s
32 32 64 1.0 52.112676056338024 44.87323943661973 2.46796575930248 121.81s
32 32 64 0.75 52.112676056338024 44.87323943661973 2.46796575930248 122.70s
32 32 64 0.5 52.112676056338024 44.87323943661973 2.46796575930248 121.99s
32 32 128 1.0 52.112676056338024 44.87323943661973 2.46796575930248 121.86s
32 32 128 0.75 52.112676056338024 44.87323943661973 2.46796575930248 122.42s
32 32 128 0.5 52.112676056338024 44.87323943661973 2.46796575930248 121.76s
32 64 0 1.0 52.112676056338024 44.87323943661973 2.46796575930248 134.06s
32 64 0 0.75 52.112676056338024 44.87323943661973 2.46796575930248 135.14s
32 64 0 0.5 52.112676056338024 44.87323943661973 2.46796575930248 134.76s
32 64 32 1.0 52.112676056338024 44.87323943661973 2.46796575930248 144.92s
